Data,Ato,Cargo,Quantidade,Símbolo,Origem,Destino,Nova Denominação
2026-04-18,Redenominação,Assessor Técnico de Coordenação Geral,1 (um),CAA-1,-,-,Assessor Especial Administrativo
2026-04-18,Redenominação,Assessor Administrativo,1 (um),CAA-2,-,-,Assessor de Coordenação Geral
2026-04-18,Redenominação,Assessor de Licitação,1 (um),CAA-2,-,-,Assessor de Contratações Públicas
2026-04-18,Redenominação,Assessor de Gabinete,1 (um),CAA-2,-,-,Assessor de Estudos e Pesquisas
2026-04-18,Redenominação,Assessor Técnico,1 (um),CAA-2,-,-,Assessor de Gestão Estratégica
2026-04-18,Redenominação,Assistente de Apoio à Secretaria Executiva de Coordenação Geral,1 (um),CAA-3,-,-,Assistente Técnico de Folha De Pagamento
2026-04-18,Redenominação,Assistente de Monitoramento e Informações Estratégicas,1 (um),CAA-3,-,-,Assistente do Núcleo de Ciência De Dados
2026-04-18,Redenominação,Assistente Técnico de Contabilidade,1 (um),CAA-3,-,-,Assistente Técnico de Gestão de Pessoas
2026-04-18,Redenominação,Assistente de Controle Financeiro,1 (um),CAA-4,-,-,Assistente de Controle Interno
2026-04-18,Redenominação,Assistente em Sistemas,1 (um),CAA-4,-,-,Assistente de Monitoramento de Convênios
2026-04-18,Redenominação,Auxiliar de Apoio Administrativo,1 (um),CAA-5,-,-,Apoio à Gestão de Pessoas
2026-04-23,Alocação,-,4 (quatro),-,-,Secretaria da Casa Civil,-
2026-04-23,Redenominação,Assessor Especial,1 (um),DAS-2,-,-,Assessor Especial de Relações Institucionais
2026-04-23,Transferência,Chefe do Núcleo Administrativo da Escola de Referência em Ensino Médio,1 (um),CAA-4,Secretaria de Educação,Secretaria da Casa Civil,Auxiliar Técnico
2026-04-23,Redenominação,Diretor de Controle Interno,1 (um),DAS-2,-,-,Gerente Geral de Coordenação e Gestão
2026-04-23,Redenominação,Gestor da Política LGBTQIA+,1 (um),DAS-5,-,-,Gestor Técnico de Controle Interno
2026-04-23,Redenominação,Assessor Jurídico,1 (um),CAA-2,-,-,Assessor Especial de Planejamento Estratégico
2026-04-23,Transferência,Assistente Técnico Jurídico de Pessoal,1 (um),CAA-3,Secretaria de Administração,Secretaria da Casa Civil,Assistente Técnico
2026-04-23,Transferência,Assistente Técnico Projetos Especiais,1 (um),CAA-3,Secretaria de Administração,Secretaria da Casa Civil,de Assistente Técnico
2026-04-28,Alocação,-,2 (dois),-,-,Secretaria da Casa Civil,-
2026-04-28,Redenominação,Coordenador de Acolhimento Institucional,1 (um),CAA-1,-,-,Coordenador de Patrimônio
2026-04-28,Redenominação,Assessor de Patrimônio,1 (um),CAA-2,-,-,Assessor Técnico de Relacionamento Interno e com a Imprensa
2026-04-28,Redenominação,Assistente Técnico de Relacionamento Interno e com a Imprensa,1 (um),CAA-3,-,-,Assistente Administrativo
2026-04-28,Redenominação,Assistente Técnico de Gabinete,1 (um),CAA-3,-,-,Assistente Técnico Financeiro
2026-04-29,Alocação,Gestor de Articulação Governamental,1 (um),DAS-5,-,Secretaria da Casa Civil,-
2026-04-29,Transferência,"Gerente Geral de Cadastro de Pessoal, Movimentação e Folha de Pagamento",1 (um),DAS-2,Secretaria de Administração,Instituto de Pesos e Medidas do Estado de Pernambuco – IPEM,Diretor Técnico
2026-04-29,Transferência,Coordenador de Análise de Custos dos Contratos de Gestão,1 (um),CAA-2,Secretaria de Saúde,Secretaria de Administração,Assessor
2026-04-30,Alocação,Assessor Especial de Relações Institucionais,1 (um),DAS-2,-,Secretaria da Casa Civil,-
2026-05-01,Alocação,Assessor,1 (um),CAA-2,-,Secretaria da Casa Civil,-
2026-05-01,Transferência,Chefe do Núcleo Administrativo da Escola de Referência em Ensino Médio,1 (um),CAA-4,Secretaria de Educação,Secretaria da Casa Civil,Auxiliar Técnico
2026-05-01,Redenominação,Assessor de Comunicação,1 (um),CAA-1,-,-,Assessor de Engenharia
2026-05-01,Transferência,Chefe do Núcleo Administrativo da Escola de Referência em Ensino Médio,1 (um),CAA-4,Secretaria de Educação,Secretaria da Casa Civil,Auxiliar Técnico
2026-05-01,Alocação,Assessor Especial de Relações Institucionais ao IASSEPE,1 (um),DAS-1,-,Instituto de Atenção à Saúde e Bem-estar dos Servidores do Estado de Pernambuco – IASSEPE,-
2026-05-01,Transferência,Superintendente de Atendimento ao Benefi ciário,1 (um),DAS-3,Instituto de Atenção à Saúde e Bem-estar dos Servidores do Estado de Pernambuco - IASSEPE,Secretaria da Casa Civil,Assessor Especial de Coordenação Estratégica
2026-05-01,Transferência,Superintendente de Auditoria,1 (um),DAS-3,Instituto de Atenção à Saúde e Bem-estar dos Servidores do Estado de Pernambuco - IASSEPE,Secretaria da Casa Civil,Assessor Especial de Coordenação Estratégica
2026-05-01,Transferência,Gerente de Relacionamento,1 (um),DAS-4,Instituto de Atenção à Saúde e Bem-estar dos Servidores do Estado de Pernambuco - IASSEPE,Secretaria da Casa Civil,Assessor Especial de Articulação e Acompanhamento
2026-05-01,Transferência,Gerente de Cadastro,1 (um),DAS-4,Instituto de Atenção à Saúde e Bem-estar dos Servidores do Estado de Pernambuco - IASSEPE,Secretaria da Casa Civil,Assessor Especial de Articulação e Acompanhamento
2026-05-01,Transferência,Gestor de Rede Própria,1 (um),DAS-5,Instituto de Atenção à Saúde e Bem-estar dos Servidores do Estado de Pernambuco - IASSEPE,Secretaria da Casa Civil,Gestor de Articulação Governamental
